university,label,label_name,definition,related_text,context_file,gold (1/0),annotator_note
University of Waterloo,intake_meeting,Intake meeting required to register,Registration requires an appointment or intake interview.,"Monitor your Waterloo email for next steps. We will email you within approximately 14 days (2 weeks) to schedule your registration appointment once we've reviewed your application. Please note that our response time may vary during peak times. Incoming students: you will begin to receive emails from us in mid-June when your Waterloo email is active. | Complete the AccessAbility Services' online application to begin the registration process (this will take approximately 5-10 minutes to complete). If you have a University of Waterloo Verification Form or alternate documentation in your possession, upload it with your application. It's okay if you don't have documentation. Apply if you believe you need accommodations | Crisis appointments",context/University_of_Waterloo.txt,1,explicit 'Meet your Accommodation Consultant' appointment step
University of Waterloo,lecture_recording,Lecture recording,Permission or equipment to record lectures.,Rest breaks during classes or exams | Modified seating or classroom access | Lecture materials in accessible formats,context/University_of_Waterloo.txt,0,"only 'lecture materials in accessible formats', not recording"
University of Waterloo,realtime_captioning,Real-time captioning,Live captioning or CART transcription of spoken content.,Captioning (real-time or human-transcribed) | Extra time and breaks for tests/exams | Extra time and breaks for tests/exams,context/University_of_Waterloo.txt,1,explicit 'Captioning (real-time or human-transcribed)'
University of Windsor,bursaries_scholarships,Disability bursaries or scholarships,"Institution-specific bursaries, awards or scholarships for disabled students.",(nothing lexically related -- check the context file),context/University_of_Windsor.txt,0,"only government BSWD/CSG-DSE, no institution-specific bursary named"
University of Windsor,exam_private_room,Private or quiet exam room,"Writing in a separate, private, individual or reduced-distraction space.","Exam accommodations: extra time, breaks, quiet/private rooms | Exam accommodations: extra time, breaks, quiet/private rooms, readers/scribes | Individual therapy",context/University_of_Windsor.txt,1,explicit 'quiet/private rooms'
University of Windsor,format_braille,Braille materials,Course materials produced in Braille.,"Alternate formats: audio, large print, Braille, accessible PDFs",context/University_of_Windsor.txt,1,
University of Windsor,per_term_renewal,Per-term reactivation required,Accommodations must be renewed or activated each term.,Financial Need: Your application will be assessed based on your and your family's (if applicable) financial situation to determine your financial need. | Once the Intake Form is filled out an advisor will reach out to you to set up an appointment to talk about your needs and how to best support you. These appointments are offered in person or virtually,context/University_of_Windsor.txt,0,no 'each term' renewal language found
University of Windsor,personalized_plan,Personalised accommodation plan,An individualised plan agreed with an advisor.,Personalized accommodation plans via intake meeting | Personalized accommodation plans via intake meeting | Individual therapy,context/University_of_Windsor.txt,1,explicit 'Personalized accommodation plans via intake meeting'
Université de l'Ontario français,accessible_buildings,Physically accessible buildings,"Ramps, elevators, automatic doors, accessible washrooms.","Physical accommodations such as accessible entries, elevators, restrooms, and service-animal access | Staff help identify and remove accessibility barriers | Staff help identify and remove accessibility barriers",context/Université_de_l_Ontario_français.txt,1,"explicit 'accessible entries, elevators'"
Université de l'Ontario français,bursaries_scholarships,Disability bursaries or scholarships,"Institution-specific bursaries, awards or scholarships for disabled students.",(nothing lexically related -- check the context file),context/Université_de_l_Ontario_français.txt,0,"only government BSWD/CSG-DSE, no institution-specific bursary named"
Université de l'Ontario français,exam_breaks,Breaks during exams,Scheduled or as-needed rest breaks during an assessment.,(nothing lexically related -- check the context file),context/Université_de_l_Ontario_français.txt,0,"extra time/quiet space mentioned, not explicit breaks"
Université de l'Ontario français,exam_private_room,Private or quiet exam room,"Writing in a separate, private, individual or reduced-distraction space.","Exam accommodations available (extra time, quiet space) | Exam accommodations available (extra time, quiet space) | Physical accommodations such as accessible entries, elevators, restrooms, and service-animal access",context/Université_de_l_Ontario_français.txt,1,'quiet space' matches private/reduced-distraction space
Université de l'Ontario français,format_audio,Audio format materials,Course materials in audio form.,Email communications@uontario.ca for document information. | Alternate formats and assistive technologies provided as needed | Alternate formats and assistive technologies provided as needed,context/Université_de_l_Ontario_français.txt,0,no audio format named
Université de l'Ontario français,format_braille,Braille materials,Course materials produced in Braille.,(nothing lexically related -- check the context file),context/Université_de_l_Ontario_français.txt,0,no Braille named
Université de l'Ontario français,format_large_print,Large print materials,Enlarged-text versions of course materials.,(nothing lexically related -- check the context file),context/Université_de_l_Ontario_français.txt,0,no large print named
Université de l'Ontario français,intake_meeting,Intake meeting required to register,Registration requires an appointment or intake interview.,Email communications@uontario.ca for document information. | Alternate formats and assistive technologies provided as needed | Alternate formats and assistive technologies provided as needed,context/Université_de_l_Ontario_français.txt,0,"registration is email-only, no described appointment"
Université de l'Ontario français,note_taking,Note-taking support,"Peer or professional note-takers, or provided lecture notes.",(nothing lexically related -- check the context file),context/Université_de_l_Ontario_français.txt,0,no note-taking mention anywhere
Université de l'Ontario français,peer_support,Peer support or mentorship programme,Student-to-student mentoring or peer support programme.,Personalized and confidential support plans | Personalized and confidential support plans | Supports students with permanent or temporary disabilities,context/Université_de_l_Ontario_français.txt,0,no mentorship program named
Université de l'Ontario français,per_term_renewal,Per-term reactivation required,Accommodations must be renewed or activated each term.,Financial Need: Your application will be assessed based on your and your family's (if applicable) financial situation to determine your financial need.,context/Université_de_l_Ontario_français.txt,0,no 'each term' language found
Université de l'Ontario français,screen_reader,Screen readers,Screen reading software named specifically.,(nothing lexically related -- check the context file),context/Université_de_l_Ontario_français.txt,0,no screen reader named
Western University (Affiliated University Colleges),confidentiality,Confidentiality / no diagnosis disclosure,Diagnosis need not be disclosed to instructors; service is confidential.,Protected Person (Protected Person Status Document is required) | Confidential coordination with faculty to implement accommodations | Confidential coordination with faculty to implement accommodations,context/Western_University_Affiliated_University_Colleges.txt,1,explicit 'Confidential coordination with faculty'
Western University (Affiliated University Colleges),peer_support,Peer support or mentorship programme,Student-to-student mentoring or peer support programme.,Support from Special Constables | Peer note-taking and lecture recording available | Peer note-taking and lecture recording available,context/Western_University_Affiliated_University_Colleges.txt,0,"'Peer note-taking' is notes support, not a mentorship program"
Western University (Main Campus),confidentiality,Confidentiality / no diagnosis disclosure,Diagnosis need not be disclosed to instructors; service is confidential.,Protected Person (Protected Person Status Document is required) | Confidential coordination with faculty to implement accommodations | Confidential coordination with faculty to implement accommodations,context/Western_University_Main_Campus.txt,1,explicit 'Confidential coordination with faculty'
Western University (Main Campus),counselling_group,Group counselling or workshops,"Group therapy, support groups or wellbeing workshops.",Group/Individual Workshops | Brief individual therapy | Single session counselling,context/Western_University_Main_Campus.txt,1,explicit 'Group/Individual Workshops'
Western University (Main Campus),intake_meeting,Intake meeting required to register,Registration requires an appointment or intake interview.,After we have reviewed your Primary Documentation for Registration you will be invited to attend an Intake & Onboarding appointment. | Complete our online registration form. | Upload documentations on the Online Registration Form.,context/Western_University_Main_Campus.txt,1,explicit 'Intake & Onboarding appointment'
Western University (Main Campus),lecture_recording,Lecture recording,Permission or equipment to record lectures.,"Peer note-taking and lecture recording available | Peer note-taking and lecture recording available | Accessible formats: audio, large print, PDFs",context/Western_University_Main_Campus.txt,1,explicit 'lecture recording available'
Western University (Main Campus),peer_support,Peer support or mentorship programme,Student-to-student mentoring or peer support programme.,Support from Special Constables | Peer note-taking and lecture recording available | Peer note-taking and lecture recording available,context/Western_University_Main_Campus.txt,0,"'Peer note-taking' is notes support, not a mentorship program"
Western University (Main Campus),reduced_course_load,Reduced course load,Studying fewer courses per term while keeping full-time status or funding.,All full-time graduate students are assessed for OSAP based on a 100% course load. Part-time students are considered to be registered in a 50% course load. Only graduate students who self-identify as having a permanent disability are eligible for full-time OSAP at this course load. | Undergraduate students must be fully-registered student in at least 60% of a full-time course load per term (the equivalent of at least three half courses per term) | Undergraduate students who have a permanent disability are eligible if enrolled in at least 40% of a full-time course load per term (the equivalent of at least two half courses per term),context/Western_University_Main_Campus.txt,0,"OSAP course-load thresholds only, not an accommodation option"
Wilfrid Laurier University,bursaries_scholarships,Disability bursaries or scholarships,"Institution-specific bursaries, awards or scholarships for disabled students.",Accessible Learning Accommodation Bursary – Graduate (ALAG) | Accessible Learning Accommodation Bursary (ALAB – undergrad),context/Wilfrid_Laurier_University.txt,1,named ALAB/ALAG bursaries
Wilfrid Laurier University,note_taking,Note-taking support,"Peer or professional note-takers, or provided lecture notes.",Note-taking support from peer volunteers | Note-taking support from peer volunteers,context/Wilfrid_Laurier_University.txt,1,explicit 'peer volunteers'
Wilfrid Laurier University,personalized_plan,Personalised accommodation plan,An individualised plan agreed with an advisor.,One-on-one accommodation planning with advisors | One-on-one accommodation planning with advisors | Confidential and personalized service,context/Wilfrid_Laurier_University.txt,1,explicit 'One-on-one accommodation planning with advisors'
York University (Glendon),accessible_buildings,Physically accessible buildings,"Ramps, elevators, automatic doors, accessible washrooms.","Support: accessible buildings and classrooms, seating accommodations, mobility on campus, photocopy assistance for those with limited mobility . | Alternate formats: audio, large print, accessible PDFs | Accessible campus layout and shuttle between Glendon and Keele",context/York_University_Glendon.txt,0,no ramps/elevators/automatic doors named
York University (Glendon),exam_breaks,Breaks during exams,Scheduled or as-needed rest breaks during an assessment.,"Extra time, breaks, and private rooms for exams | Extra time, breaks, and private rooms for exams | Support: flexible deadlines, attendance and exam modifications, rest breaks, accommodation plans tailored to health-related barriers .",context/York_University_Glendon.txt,1,explicit 'breaks'
York University (Glendon),interim_without_documentation,Interim accommodation without full documentation,Temporary support available before or without formal diagnosis paperwork.,Temporary and interim accommodations for undiagnosed issues | Temporary and interim accommodations for undiagnosed issues | Collect required documentation.,context/York_University_Glendon.txt,1,explicit 'Temporary and interim accommodations for undiagnosed issues'
York University (Glendon),reduced_course_load,Reduced course load,Studying fewer courses per term while keeping full-time status or funding.,"Examples: partial hearing loss, deafness. | To apply for full-time OSAP aid, you must: | register in full-time studies for the session",context/York_University_Glendon.txt,0,"OSAP full-time requirement only, not a reduced-load option"
York University (Glendon),screen_reader,Screen readers,Screen reading software named specifically.,"Support: adaptive technology like screen readers and magnifiers (e.g., JAWS, Kurzweil 3000), alternative-format documents (large-print, digital), orientation aids .",context/York_University_Glendon.txt,1,explicit 'screen readers'
York University (Glendon),speech_to_text,Speech-to-text / dictation,Voice recognition or dictation tools.,(nothing lexically related -- check the context file),context/York_University_Glendon.txt,0,no dictation/voice tool named
York University (Glendon),transition_program,Transition programme,Structured support for the high-school-to-university transition.,Orientation and peer support for new students | Orientation and peer support for new students | One-on-one support from accessibility counsellors,context/York_University_Glendon.txt,1,explicit 'Orientation and peer support for new students'
York University (Keele),accessible_housing,Accessible housing / residence,Adapted residence rooms or priority accessible housing.,"Support: accessible buildings and classrooms, seating accommodations, mobility on campus, photocopy assistance for those with limited mobility . | Personalized accommodation plans each term | Personalized accommodation plans each term",context/York_University_Keele.txt,0,no housing accommodation mentioned
York University (Keele),confidentiality,Confidentiality / no diagnosis disclosure,Diagnosis need not be disclosed to instructors; service is confidential.,Help for students without a formal diagnosis | Help for students without a formal diagnosis | Collect required documentation.,context/York_University_Keele.txt,0,"'without a formal diagnosis' is interim policy, not confidentiality"
York University (Keele),counselling_group,Group counselling or workshops,"Group therapy, support groups or wellbeing workshops.",Group counselling | Virtual counselling | In-person counselling,context/York_University_Keele.txt,1,explicit 'Group counselling'
York University (Keele),personalized_plan,Personalised accommodation plan,An individualised plan agreed with an advisor.,"Personalized accommodation plans each term | Personalized accommodation plans each term | Support: flexible deadlines, attendance and exam modifications, rest breaks, accommodation plans tailored to health-related barriers .",context/York_University_Keele.txt,1,explicit 'Personalized accommodation plans each term' + one-on-one support
York University (Keele),realtime_captioning,Real-time captioning,Live captioning or CART transcription of spoken content.,"Extra time and breaks for exams | Extra time and breaks for exams | To apply for full-time OSAP aid, you must:",context/York_University_Keele.txt,0,no captioning/CART mentioned
York University (Markham),asl_interpretation,ASL / sign language interpretation,Sign language interpreters for classes or meetings.,(nothing lexically related -- check the context file),context/York_University_Markham.txt,1,explicit 'ASL interpreting on request'
York University (Markham),exam_private_room,Private or quiet exam room,"Writing in a separate, private, individual or reduced-distraction space.","Quiet, private testing spaces | Quiet, private testing spaces | Support: temporary exam adjustments, classroom seating changes, provision of mobility aids and note-taking resources.""",context/York_University_Markham.txt,1,"explicit 'Quiet, private testing spaces'"
